타임스탬프,1. 연령대가 어떻게 되시나요?,2. 성별은 어떻게 되시나요?,3. 대학교 재학중이신가요?,4. 주로 사용하는 어플리케이션 종류는 무엇인가요?(복수선택 가능),5. 선택한 어플리케이션의 사용시간은 어느 정도인가요?,6. 주로 시청하는 콘텐츠의 종류는 무엇인가요?(복수선택 가능),7. 선택한 콘텐츠의 종류 중 최근에 가장 인상깊게 시청한 영상을 소개해주세요.,8. 최근 3개월 동안 SNS에 게시물을 몇 회 이상 업로드하셨나요?,9. 자신이 등장하는 영상이나 사진 찍는 것을 좋아하시나요?,10. 이유는 무엇인가요?,11. 자신이 등장하는 영상이나 사진을 누구에게 공유하시나요?,12. 공유 경로는 어떻게 하시나요?,13. 내 모습을 바꿀 수 있다면 어떻게 바꾸고 싶은가요?,14. 내 모습을 바꿔서 무엇을 해보고 싶은가요?,15. '음악'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),16. '일상'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),17. '코미디'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),18. '댄스'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),19. '영화/드라마'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),20. '엔터테인먼트/연예인'에서 가장 흥미로운 주제는 무엇인가요?(복수 선택 가능),21. '애니메이션'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능)
4-12-2022 14:17:17,20대,남자,O,OTT,일일 1시간 이내,일상,2521,월 1회 이상,그렇다,-,친한 친구에게만,카카오톡,-,-,노래모음,"다양한 환경 체험, 각종 지식, 정보 이야기하기",밈,일반인 댄스,영화/드라마 리뷰 또는 소개,인기 연예인과 함께 출연하기,코스프레
4-11-2022 19:02:17,20대,남자,O,"OTT, 영상",일일 3~6시간,"음악, 코미디, 영화, 스포츠",ufc,없음,보통이다,.,친한 친구에게만,카카오톡,.,.,노래모음,요리,"꽁트, 엽기적인 영상",춤 연습,명대사 따라하기,인기 연예인과 함께 출연하기,따라하기
4-11-2022 23:09:02,20대,남자,O,"SNS, OTT, 영상",일일 3~6시간,"음악, 코미디, 일상, 예능",일상,월 1회 이상,그렇다,흔적을 남기는 느낌이라,지인에게만,인스타그램,.,.,"원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연, 악기 연주","다양한 환경 체험, 요리, 다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 밈, 공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)","춤 연습, 스트릿 댄스, 콜라보","영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG, 합방",코스프레
4-12-2022 17:39:08,20대,남자,O,"SNS, 영상",일일 1시간 이내,"음악, 일상, 영화, 스포츠",이스타티비(축구영상),없음,그렇지 않다,딱히 필요성을 못느껴서,지인에게만,인스타그램,....더 키가 크게?,큰 키로 축구할 때 헤딩?,커버 곡,"각종 지식, 정보 이야기하기, 운동, 평소에 보여주지 못 한 모습 보여주기","꽁트, 밈, 공감되는 영상",무대에 서기,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",딱히 없음,딱히 없음
4-11-2022 18:40:27,30대,남자,X,영상,일일 1~3시간,스포츠,FC AWAY 경기 영상,없음,매우 그렇지 않다,사진이 내 얼굴을 담지 못함.,지인에게만,카카오톡,10년 전 내 모습,축구,원곡 그대로 듣기,운동,밈,스트릿 댄스,"명대사 따라하기, 패건들지마 손모가지 날아가붕게","유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 15:48:14,20대,남자,O,"SNS, 영상",일일 1~3시간,"음악, 코미디",ufc 페더급 타이틀전 정찬성 vs 볼카노프스키 ,월 1회 이상,그렇다,기록,지인에게만,인스타그램,골격근량 45kg,3대 500,"원하는 외모와 목소리로 노래하기, 듀엣, 악기 연주","요리, 각종 지식, 정보 이야기하기, 운동","꽁트, 밈",스트릿 댄스,명대사 따라하기,유명인 되어보기,코스프레
4-11-2022 21:03:30,20대,여자,O,"SNS, OTT, 영상",일일 1~3시간,"일상, 영화, 예능",하버드 대학생의 하루,월 1회 이상,그렇다,사진이 잘 나오면 자랑하고 싶어요,지인에게만,인스타그램,교정 초기로 바꾸고 싶어요,딱히 없어요,"원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연, 커버 곡, 노래모음","다양한 환경 체험, 다양한 팁, 각종 지식, 정보 이야기하기, 평소에 보여주지 못 한 모습 보여주기","엽기적인 영상, 밈, 공감되는 영상","무대에 서기, 스트릿 댄스, 콜라보","영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인 되어보기, 인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG, 합방","따라하기, 특정 애니메이션에 내가 원하는 목소리, 대사 적용하기, 코스프레"
4-12-2022 18:33:57,20대,남자,O,"SNS, 영상, 금융",일일 1~3시간,"음악, 예능",빵집탐방 및 빵 먹방,주 1회 이상,보통이다,인스타그램에 일상을 가끔 올린다. 일상공유 차원인 것 같다.,지인에게만,인스타그램,귀여운 동물 캐릭터로,내 모습을 제외한 내가 경험하고 있는 주변의 것들만 공유하기,"악기 연주, 커버 곡","요리, 다양한 팁, 각종 지식, 정보 이야기하기","공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:50:22,20대,여자,O,"게임, SNS, OTT, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 댄스, 코미디, 일상, 영화, 예능",틱톡에서 도마뱀이 곤충먹는 영상,없음,그렇지 않다,노관심,친한 친구에게만,인스타그램,귀엽고 깜찍하게ㅋㅋㅋㅋ,킹카가 되야지 ㅋㅋㅋㅋㅋ,"원하는 외모와 목소리로 노래하기, 듀엣, 악기 연주, 커버 곡, 노래모음","다양한 환경 체험, 요리","꽁트, 엽기적인 영상, 몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)","춤 연습, 무대에 서기, 같이 춤추기, 스트릿 댄스, 콜라보, 일반인 댄스",비하인드 스토리,인기 연예인과 함께 출연하기,따라하기
4-11-2022 18:57:58,20대,남자,O,"게임, SNS, 영상",일일 3~6시간,"스포츠, 예능",이스타티비 퀴즈쇼,없음,매우 그렇지 않다,내가 나오는걸 보기가 싫어서 안 올립니다,친한 친구에게만,카카오톡,그냥 평균정도로만 생겼으면 좋겠습니다,연애…?,"라이브로 실시간 공연, 노래모음",운동,"슬랩스틱, 밈","무대에 서기, 일반인 댄스","영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 V-LOG, 합방",잘 모르겠습니다
4-11-2022 20:13:27,20대,여자,O,"SNS, OTT, 영상, 쇼핑",일일 3~6시간,"음악, 코미디, 일상, 예능",드라마 스물다섯 스물하나,없음,그렇지 않다,얼굴 찍는 게 부담스러움,친한 친구에게만,카카오톡,그냥 피부가 깨끗해지고 코가 높아지면 좋겠다 정도?,딱히 없는데요...;;;,"라이브로 실시간 공연, 노래모음","다양한 환경 체험, 요리, 다양한 팁, 각종 지식, 정보 이야기하기, 평소에 보여주지 못 한 모습 보여주기","꽁트, 밈, 공감되는 영상","춤 연습, 무대에 서기, 콜라보","영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기, 합방","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 22:24:31,20대,남자,X,"SNS, OTT",일일 1~3시간,"일상, 영화, 스포츠",인스타 릴스,월 1회 이상,보통이다,부담스럽다,나에게만,카카오톡,그런 생각은 안해본거 같아요,없어요 ㅠㅠ,"원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연","요리, 운동","꽁트, 밈, 공감되는 영상",일반인 댄스,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,옶음
4-11-2022 21:31:33,20대,여자,O,"SNS, 영상, 금융",일일 6~10시간,"음악, 댄스, 예능",런닝맨 클립,월 1회 이상,매우 그렇지 않다,모르는 사람에게 얼굴 노출되는게 싫어서,나에게만,카카오톡,나의 주장을 자유롭게 펼치는 사람,토론 대회,"커버 곡, 노래모음","요리, 다양한 팁, 각종 지식, 정보 이야기하기, 운동","꽁트, 기획 프로그램(가짜사나이, 머니게임 등)","춤 연습, 무대에 서기, 같이 춤추기, 일반인 댄스",영화/드라마 리뷰 또는 소개,유명인의 V-LOG,명장면
4-11-2022 19:40:50,20대,여자,X,SNS,일일 10시간 초과,"음악, 영화",미드나잇 선 영화,주 3회 이상,매우 그렇지 않다,찍힌 내 모습이 마음에 안들어서,친한 친구에게만,카카오톡,날씬,옷쇼핑해서 놀러가기,"라이브로 실시간 공연, 커버 곡, 노래모음","다양한 환경 체험, 요리","꽁트, 엽기적인 영상",스트릿 댄스,"영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개","인기 연예인과 함께 출연하기, 유명인의 V-LOG","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:49:42,30대,남자,X,SNS,일일 1시간 이내,스포츠,EPL,월 1회 이상,보통이다,남들에게 일상을 알리고 싶은 마음,지인에게만,인스타그램,남들이 우러러 볼 수 있게,대통령,노래모음,"운동, 평소에 보여주지 못 한 모습 보여주기","슬랩스틱, 공감되는 영상",무대에 서기,영화/드라마 평론가 되기,인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 19:04:39,20대,남자,O,"SNS, 영상",일일 3~6시간,"음악, 코미디, 스포츠, 예능",18/19 UCL 준결승 리버풀 vs 바르셀로나 2차전,없음,보통이다,큰 관심이 생기지 않아서,친한 친구에게만,카카오톡,내 주변사람들이 창피해 하지 않게,당당하게걷기,"커버 곡, 노래모음","다양한 환경 체험, 운동","꽁트, 밈, 공감되는 영상",스트릿 댄스,비하인드 스토리,"유명인의 패션 ,헤어,메이크업 체험하기",따라하기
4-11-2022 22:29:46,20대,여자,O,"SNS, 영상",일일 3~6시간,"음악, 코미디, 일상","음악방송 무대영상, 숏박스",없음,보통이다,사진은 가끔찍긴 하지만 즐겨하진 않음,지인에게만,카카오톡,내가 원하는 스타일의 얼굴로 바꾸기,바꾼모습으로 사진찍기,노래모음,"다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 공감되는 영상",무대에 서기,"영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG",따라하기
4-12-2022 12:48:59,20대,남자,X,"SNS, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 스포츠, 예능",정찬성vs볼카 타이틀전,없음,그렇다,일생 기록을 남길 수 있어서,나에게만,인스타그램,내성적인 성격을 외향적인 성격으로 개선,소모임 참석. 단체 활동 참여,원하는 외모와 목소리로 노래하기,"요리, 다양한 팁, 각종 지식, 정보 이야기하기","몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,"명대사 따라하기, 영화/드라마 리뷰 또는 소개",합방,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:41:16,30대,남자,X,"SNS, 영상",일일 1~3시간,"음악, 코미디, 스포츠, 예능",SNL,주 1회 이상,그렇다,그냥 일기장깉은곳이라서,지인에게만,인스타그램,누가봐도잘생김,섹스,노래모음,다양한 팁,공감되는 영상,스트릿 댄스,영화/드라마 리뷰 또는 소개,인기 연예인과 함께 출연하기,코스프레
4-11-2022 20:08:51,20대,여자,X,영상,일일 1~3시간,"음악, 댄스, 스포츠, 예능, 애니",요리하는 유튜브 숏폼 영상,없음,그렇지 않다,영상 속에서 내 모습을 보는 것이 어색하고 민망해서,친한 친구에게만,카카오톡,다이어트,딱히 해보고 싶은 건 없다,노래모음,"각종 지식, 정보 이야기하기","공감되는 영상, 몰래카메라",무대에 서기,"영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 20:37:01,20대,여자,X,구글/사파리 등 인터넷 브라우저,일일 3~6시간,글,기억이 안남..?,월 1회 이상,그렇지 않다,얼굴이 모르는 사람들에게 공개되는 것이 싫어서,나에게만,인스타그램,다이어트!,예쁜 옷 입기!,"라이브로 실시간 공연, 악기 연주","요리, 취미생활","꽁트, 밈",스트릿 댄스,영화/드라마 리뷰 또는 소개,관심이 없음,관심이 없음
4-12-2022 14:41:11,20대,여자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 3~6시간,"음악, 댄스, 코미디, 일상",침착맨,주 1회 이상,매우 그렇지 않다,부끄러움,친한 친구에게만,카카오톡,다이어트..?,연애,"커버 곡, 노래모음",요리,꽁트,춤 연습,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,코스프레
4-12-2022 14:40:30,20대,남자,O,"SNS, 영상",일일 3~6시간,"코미디, 스포츠",쇼트트랙 세계선수권,월 1회 이상,보통이다,관심없음,친한 친구에게만,인스타그램,더 관종으로,관종짓,원하는 외모와 목소리로 노래하기,다양한 환경 체험,"밈, 몰래카메라",스트릿 댄스,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 22:03:12,20대,여자,O,SNS,일일 1~3시간,코미디,경제,없음,보통이다,"sns 업로드
",친한 친구에게만,카카오톡,더 스마트하게,많은 사람들한테 응원받기,노래모음,다양한 환경 체험,밈,무대에 서기,명대사 따라하기,유명인 되어보기,코스프레
4-12-2022 17:01:21,20대,여자,O,"SNS, OTT, 영상",일일 3~6시간,음악,그랜드 부다페스트 호텔,주 3회 이상,그렇지 않다,특별한 일을 하는 경우가 아니면 남기는 이유를 모르겠음,가족에게만,카카오톡,딱히 바꾸고 싶다고 느낀 적이 없음,"
크게 해 보고 싶은 일은 없음","원하는 외모와 목소리로 노래하기, 라이브로 실시간 공연","요리, 각종 지식, 정보 이야기하기","꽁트, 밈","춤 연습, 무대에 서기",영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기",명장면 클립
4-12-2022 13:49:08,20대,남자,O,"SNS, 영상",일일 1~3시간,"음악, 코미디, 스포츠, 예능",개그 - 음뫄 핫소스,주 3회 이상,그렇다,추억을 남기기에는 사진이 좋다고 생각하기 때문입니다. ,친한 친구에게만,카카오톡,딱히 생각해보지 않았습니다. ,사진 많이 찍기...?,"원하는 외모와 목소리로 노래하기, 악기 연주","다양한 환경 체험, 각종 지식, 정보 이야기하기, 운동, 평소에 보여주지 못 한 모습 보여주기","엽기적인 영상, 밈, 몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)",춤 연습,"영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인 되어보기, 인기 연예인과 함께 출연하기, 합방","따라하기, 특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 22:31:06,20대,남자,O,"SNS, 영상, 금융, 배달어플",일일 3~6시간,"스포츠, 예능",정찬성 볼카노프스키 페더급 타이틀전 하이라이트,없음,그렇지 않다,귀찮고 무관심함,지인에게만,카카오톡,딱히 없지만 목소리가 조금 더 굵었으면 좋겠다,딱히 없음,라이브로 실시간 공연,"다양한 팁, 각종 지식, 정보 이야기하기, 운동","기획 프로그램(가짜사나이, 머니게임 등)",콜라보,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,"추억의 짱구는 못말려,명탐정 코난 극장판 다시보기"
4-11-2022 19:06:49,30대,남자,X,"게임, 영상, 쇼핑",일일 1시간 이내,스포츠,축구영상,월 1회 이상,보통이다,그냥 일상 기록,지인에게만,인스타그램,딱히없다 만족하면서 삼,해당없음,"악기 연주, 커버 곡","각종 지식, 정보 이야기하기, 운동","공감되는 영상, 몰래카메라",스트릿 댄스,영화/드라마 리뷰 또는 소개,"인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 19:52:58,20대,남자,O,"게임, SNS",일일 1~3시간,음악,명탐정코난,없음,그렇지 않다,친구 한명이 이런거 많이 올리는 사람 정 떨어진다고 한적이 있어서요,친한 친구에게만,인스타그램,마른 몸과 빠른 속도 잘생긴 얼굴,축구할때 윙어 해보고 싶어요..,"라이브로 실시간 공연, 저는 일본 노래 좋아해요","운동, 평소에 보여주지 못 한 모습 보여주기","기획 프로그램(가짜사나이, 머니게임 등)","스트릿 댄스, 일반인 댄스","명대사 따라하기, 영화/드라마 속 인물이 되어보기","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기",나무위키를 통해 그 애니메이션을 복습하기
4-11-2022 18:33:07,30대,남자,X,"SNS, 영상",일일 1~3시간,"음악, 일상, 스포츠",그것이 알고싶다,월 1회 이상,매우 그렇다,취미생활,모두에게,인스타그램,마른체형,인터넷 방송,"커버 곡, 노래모음",운동,"밈, 기획 프로그램(가짜사나이, 머니게임 등)",일반인 댄스,영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 14:05:23,20대,남자,O,영상,일일 1~3시간,예능,런닝맨,월 1회 이상,보통이다,사진찍는걸 많이 선호하지 않는다,친한 친구에게만,카카오톡,마른체형,다양한 옷을 입어본다,커버 곡,요리,엽기적인 영상,일반인 댄스,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,따라하기
4-12-2022 13:11:44,20대,남자,X,"게임, 영상, 금융",일일 1~3시간,"댄스, 영화, 스포츠, 예능",침착맨 쇼츠,없음,그렇다,추억소장,친한 친구에게만,인스타그램,만족,없음,라이브로 실시간 공연,"각종 지식, 정보 이야기하기, 운동",밈,스트릿 댄스,영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 13:10:24,20대,남자,X,"SNS, OTT, 영상",일일 1~3시간,"음악, 코미디, 영화, 예능",Kevin hart - help me,없음,그렇지 않다,구낭,모두에게,카카오톡,멋잇게,카사노바,"라이브로 실시간 공연, 악기 연주, 커버 곡, 노래모음","다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 엽기적인 영상, 슬랩스틱, 밈, 공감되는 영상, 몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,"명대사 따라하기, 영화/드라마 속 인물이 되어보기, 영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 합방","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:49:10,20대,남자,O,영상,일일 1~3시간,예능,런닝맨,없음,보통이다,간직,친한 친구에게만,카카오톡,멋있게,놀기,라이브로 실시간 공연,요리,꽁트,스트릿 댄스,영화/드라마 리뷰 또는 소개,유명인 되어보기,따라하기
4-12-2022 13:58:37,20대,남자,O,영상,일일 1~3시간,"영화, 스포츠",골프,월 1회 이상,보통이다,관심 없음,지인에게만,인스타그램,멋있게,딱히 없음,노래모음,"요리, 운동",공감되는 영상,일반인 댄스,영화/드라마 리뷰 또는 소개,인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:36:40,30대,남자,X,"OTT, 영상, 금융",일일 1~3시간,"영화, 스포츠",소년심판,없음,매우 그렇지 않다,내자신이소중해서,가족에게만,카카오톡,멋있는사람,셀럽,커버 곡,"요리, 운동",꽁트,춤 연습,"명대사 따라하기, 영화/드라마 리뷰 또는 소개",인기 연예인과 함께 출연하기,따라하기
