타임스탬프,1. 연령대가 어떻게 되시나요?,2. 성별은 어떻게 되시나요?,3. 대학교 재학중이신가요?,4. 주로 사용하는 어플리케이션 종류는 무엇인가요?(복수선택 가능),5. 선택한 어플리케이션의 사용시간은 어느 정도인가요?,6. 주로 시청하는 콘텐츠의 종류는 무엇인가요?(복수선택 가능),7. 선택한 콘텐츠의 종류 중 최근에 가장 인상깊게 시청한 영상을 소개해주세요.,8. 최근 3개월 동안 SNS에 게시물을 몇 회 이상 업로드하셨나요?,9. 자신이 등장하는 영상이나 사진 찍는 것을 좋아하시나요?,10. 이유는 무엇인가요?,11. 자신이 등장하는 영상이나 사진을 누구에게 공유하시나요?,12. 공유 경로는 어떻게 하시나요?,13. 내 모습을 바꿀 수 있다면 어떻게 바꾸고 싶은가요?,14. 내 모습을 바꿔서 무엇을 해보고 싶은가요?,15. '음악'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),16. '일상'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),17. '코미디'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),18. '댄스'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),19. '영화/드라마'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능),20. '엔터테인먼트/연예인'에서 가장 흥미로운 주제는 무엇인가요?(복수 선택 가능),21. '애니메이션'에서 가장 흥미로운 주제는 무엇인가요?(복수선택 가능)
4-11-2022 18:34:46,30대,남자,X,"SNS, OTT, 영상, 금융",일일 3~6시간,"스포츠, 예능",손흥민 하이라이트,월 1회 이상,그렇지 않다,그냥 ,지인에게만,인스타그램,재밌게,재미,"라이브로 실시간 공연, 노래모음","다양한 팁, 각종 지식, 정보 이야기하기, 운동","밈, 공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,"영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 V-LOG, 합방","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 11:47:54,20대,남자,X,영상,일일 3~6시간,"음악, 스포츠, 게임",배그 맛잇게하는 놈 dg98,없음,보통이다,그냥 .... 나 나오는게 부끄러워서요,친한 친구에게만,카카오톡,저는 제가 좋습니다. 단지 축구를 더 잘하구 싶을뿐,손흥민,노래모음,게임,공감되는 영상,일반인 댄스,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,애니메이션은 별루..
4-11-2022 20:10:54,20대,여자,X,"게임, OTT, 영상, 금융, 쇼핑",일일 6~10시간,"음악, 코미디, 영화, 예능, 드라마",드라마 스물다섯 스물하나,없음,보통이다,지금에만 나올 수 있는 내 모습을 나중에 보고싶어서,친한 친구에게만,카카오톡,조금 더 당당한 모습으로 바꾸고 싶다,사람들 앞에서 노래부르기,"악기 연주, 커버 곡, 노래모음","요리, 다양한 팁, 운동","꽁트, 엽기적인 영상, 밈, 공감되는 영상","스트릿 댄스, 일반인 댄스","명대사 따라하기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 V-LOG, 합방",리뷰 또는 비하인드 스토리
4-12-2022 14:12:50,20대,남자,O,"SNS, OTT, 영상",일일 3~6시간,"코미디, 영화, 스포츠, 예능",이스타 티비 펩 vs 클롭,없음,그렇다,기록을 남기는 것을 좋아함,친한 친구에게만,카카오톡,조금 더 샤프하게,증명사진 찍고 싶어요,"라이브로 실시간 공연, 악기 연주","요리, 다양한 팁, 각종 지식, 정보 이야기하기, 운동","꽁트, 몰래카메라",스트릿 댄스,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,안봄
4-11-2022 19:58:48,20대,여자,O,"SNS, OTT, 영상",일일 3~6시간,"음악, 영화",다큐프라임이요!,월 1회 이상,그렇다,당시의 기록이니까요!,모두에게,인스타그램,조금 더 자신감 있게?,자신감 있게 제 꿈을 펼치고 싶어요,라이브로 실시간 공연,"각종 지식, 정보 이야기하기",공감되는 영상,같이 춤추기,"영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개",인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 19:15:34,20대,남자,O,영상,일일 1~3시간,요리 게임,백종원의 요리교실,월 1회 이상,보통이다,사진찍는걸 많이 좋아하지 않습니다,친한 친구에게만,카카오톡,조금 마른체형,마른체형에 어울리는 옷을 입어보고싶다,노래모음,요리,엽기적인 영상,스트릿 댄스,영화/드라마 리뷰 또는 소개,유명인의 V-LOG,따라하기
4-12-2022 14:11:21,20대,남자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 6~10시간,"음악, 영화",2521,없음,매우 그렇지 않다,상남자특,나에게만,카카오톡,조선제일검,조선팔도평정,라이브로 실시간 공연,"각종 지식, 정보 이야기하기",엽기적인 영상,없음,비하인드 스토리,없음,"따라하기, 특정 애니메이션에 내가 원하는 목소리, 대사 적용하기, 코스프레"
4-11-2022 21:49:44,20대,남자,X,"SNS, 영상, 금융",일일 1~3시간,"음악, 스포츠",스포츠 영상,없음,매우 그렇지 않다,부끄,친한 친구에게만,인스타그램,존잘,사냥,원하는 외모와 목소리로 노래하기,"요리, 운동","엽기적인 영상, 밈, 공감되는 영상, 몰래카메라","춤 연습, 무대에 서기, 일반인 댄스","영화/드라마 속 인물이 되어보기, 영화/드라마 리뷰 또는 소개","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기",따라하기
4-12-2022 14:03:27,20대,남자,O,"SNS, OTT, 영상, 금융",일일 3~6시간,"코미디, 일상, 영화, 스포츠, 예능",영화,주 1회 이상,그렇다,기록남기기위해,지인에게만,인스타그램,존잘,유튜버,"라이브로 실시간 공연, 악기 연주, 커버 곡","각종 지식, 정보 이야기하기, 운동","몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)",일반인 댄스,영화/드라마 리뷰 또는 소개,"유명인 되어보기, 합방",따라하기
4-11-2022 19:11:54,30대,남자,X,SNS,일일 1~3시간,"음악, 영화, 스포츠",솔로지옥,월 1회 이상,그렇지 않다,못생겨서,지인에게만,인스타그램,존잘러,헌팅,"라이브로 실시간 공연, 커버 곡","요리, 운동",몰래카메라,무대에 서기,영화/드라마 리뷰 또는 소개,"유명인의 V-LOG, 합방",코스프레
4-12-2022 14:01:00,20대,남자,O,SNS,일일 1~3시간,"코미디, 일상, 스포츠","유튜브 숏박스라는 채널에 ""방송사고""라는 제목으로 올라온 영상. 짧은 꽁트 느낌으로 연출한 영상이다.",월 1회 이상,그렇다,추억으로 남기 때문이다.,친한 친구에게만,카카오톡,좀 더 멋있고 남자다운 모습,모델,"듀엣, 커버 곡","다양한 환경 체험, 각종 지식, 정보 이야기하기, 운동","꽁트, 엽기적인 영상, 공감되는 영상","춤 연습, 일반인 댄스","명대사 따라하기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 14:05:13,20대,남자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 코미디, 영화, 예능",햇도시락,월 1회 이상,그렇다,추억으로 남길 수 있으니까,지인에게만,유튜브 개인 채널,좀 마르고 키도 크게,쇼핑 브이로그,"듀엣, 라이브로 실시간 공연, 커버 곡, 노래모음","다양한 환경 체험, 요리, 다양한 팁, 각종 지식, 정보 이야기하기, 평소에 보여주지 못 한 모습 보여주기","꽁트, 엽기적인 영상, 슬랩스틱, 밈, 공감되는 영상, 몰래카메라","춤 연습, 무대에 서기, 같이 춤추기, 스트릿 댄스, 콜라보, 일반인 댄스","영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 V-LOG","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 20:01:49,20대,남자,O,"SNS, 영상",일일 1시간 이내,"음악, 일상, 스포츠",이스포츠 관련 영상,월 1회 이상,보통이다,누군가 내 모습 보는 것이 그리 유쾌하진 않다,친한 친구에게만,인스타그램,좀더 밝은 사람.,밝은 모습을 남들과 공유하기.,노래모음,"운동, 평소에 보여주지 못 한 모습 보여주기",공감되는 영상,"콜라보, 일반인 댄스","영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 합방","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 19:37:23,20대,남자,O,"SNS, OTT, 영상, 쇼핑",일일 3~6시간,"영화, 스포츠, 드라마",스물다섯스물하나,월 1회 이상,보통이다,추억이 될만하게 여행이나 놀러갔을땐 찍지만 평상시엔 크게 찍을 필요성을 못 느끼는 것 같다,친한 친구에게만,카카오톡,지금 내 모습에 만족하지만 굳이 바꾼다면 키나 얼굴 크기정도인 것 같다,"키가 커지고 얼굴이 작아진다면 옷빨이 더 잘 받을 것 같아서 쇼핑을 자주 할 것 같고 옷에 더 관심을 갖게 될 것 같다
모습이 바뀐다면 쇼핑몰 모델정도 한번쯤 해보고싶다","커버 곡, 노래모음","요리, 운동","엽기적인 영상, 밈, 공감되는 영상",큰 관심이 없다,"영화/드라마 리뷰 또는 소개, 비하인드 스토리",유명인의 V-LOG,관심이 없다
4-11-2022 19:40:04,20대,남자,O,"게임, SNS, 영상, 금융",일일 1~3시간,"음악, 과학&공학",빅뱅-봄여름가을겨울,월 1회 이상,매우 그렇지 않다,그순간을 즐기는중인데 영상을 찍으면 몰입이 깨짐,친한 친구에게만,카카오톡,지금 모습도 ㅈㄴ 멋있는것같음,키가 작아서 장발도전은 해보고 싶긴함,"라이브로 실시간 공연, 지금 죽은사람을 라이브 영상으로 볼수 있는것 (김광석,김현식,유재하,NIRVANA,등등)",일상은 흥미롭지가 않음,"밈, 공감되는 영상, 몰래카메라",관심없음,관심없음,관심없음,관심없음
4-12-2022 14:42:21,20대,남자,O,"SNS, 영상",일일 3~6시간,"음악, 영화",탑보이,월 1회 이상,보통이다,가끔은 좋아하는데 자주는 안 좋아합니다.,친한 친구에게만,인스타그램,지금도 충분합니다.,위와 같음.,"듀엣, 악기 연주","다양한 환경 체험, 각종 지식, 정보 이야기하기, 평소에 보여주지 못 한 모습 보여주기",공감되는 영상,무대에 서기,명대사 따라하기,"유명인 되어보기, 인기 연예인과 함께 출연하기",흥미가 없습니다.
4-11-2022 19:11:47,20대,남자,O,"게임, SNS, 영상",일일 3~6시간,"음악, 코미디, 일상, 예능",노래가사를 보기 좋게 편집헌 영상,없음,보통이다,다른 사람이 찍자고 하면 하기랴 하지만 내가 직접 사진을 찍을 만큼 관심이 있지는 않다.,지인에게만,카카오톡,지금처럼 유지,평범하게 똑같이 살아간다,원하는 외모와 목소리로 노래하기,다양한 환경 체험,"꽁트, 공감되는 영상, 몰래카메라",무대에 서기,영화/드라마 리뷰 또는 소개,유명인 되어보기,따라하기
4-11-2022 20:01:47,30대,남자,X,SNS,일일 1시간 이내,음악,유투브,없음,그렇지 않다,궈찮아요,가족에게만,카카오톡,지적으로,삶을 다시 산다,듀엣,다양한 환경 체험,꽁트,춤 연습,영화/드라마 속 인물이 되어보기,인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 18:42:03,30대,남자,X,"SNS, OTT",일일 1~3시간,"음악, 드라마",내 뒤에 테리우스,없음,보통이다,추억 기록,나에게만,카카오톡,최고,멋진 삶,감상,운동,선호하지 않음,선호하지 않음,감상,관심 없음,관심 없음
4-12-2022 14:02:04,20대,남자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 10시간 초과,"음악, 댄스, 스포츠, 예능",빅뱅 뮤비,주 3회 이상,보통이다,내가 나오냐 안나오냐 보다 재미가 우선이라서,지인에게만,인스타그램,충분하다,공부빼고 다,"라이브로 실시간 공연, 노래모음","요리, 다양한 팁, 각종 지식, 정보 이야기하기",공감되는 영상,"춤 연습, 스트릿 댄스",영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG",간단 요약 리뷰
4-12-2022 12:59:22,20대,남자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 코미디, 일상, 영화, 스포츠",넷플릭스 F1 Drive to Survive Season4,없음,보통이다,X,나에게만,카카오톡,큰 키,자랑,"듀엣, 악기 연주, 커버 곡","다양한 환경 체험, 다양한 팁, 각종 지식, 정보 이야기하기, 운동","엽기적인 영상, 밈, 공감되는 영상",X,"명대사 따라하기, 영화/드라마 리뷰 또는 소개","유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG",X
4-11-2022 18:56:54,20대,남자,O,"SNS, 영상, 금융",일일 3~6시간,"코미디, 스포츠",이용진 장기하,주 3회 이상,보통이다,일상 공유!,지인에게만,인스타그램,키 늘리겠습니다!,지금이 좋아요,노래모음,운동,엽기적인 영상,콜라보,영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 20:53:08,20대,남자,O,"SNS, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 코미디",침착맨 유튜브,없음,보통이다,개인정보나 신상을 불특정 다수가 접근가능한 온라인에 노출시키는 것을 꺼리기 때문,지인에게만,카카오톡,키 크게,축구,원하는 외모와 목소리로 노래하기,"다양한 환경 체험, 각종 지식, 정보 이야기하기",꽁트,같이 춤추기,영화/드라마 리뷰 또는 소개,인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 14:32:15,20대,남자,O,"SNS, OTT, 영상, 금융, 쇼핑",일일 1~3시간,"음악, 일상, 영화, 예능",대게나라,없음,매우 그렇지 않다,Sns를 자주 이용하지도 않고 관심도 없다,친한 친구에게만,인스타그램,키가 더 커지고 싶다.,농구,"커버 곡, 노래모음","다양한 팁, 각종 지식, 정보 이야기하기, 운동","밈, 공감되는 영상",무대에 서기,"명대사 따라하기, 영화/드라마 속 인물이 되어보기, 영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리",인기 연예인과 함께 출연하기,없음
4-11-2022 17:43:48,20대,여자,O,"SNS, OTT, 영상",일일 3~6시간,"음악, 일상, 영화",브이로그,주 1회 이상,그렇다,나중에 다시 보면 그때의 감정이 기억나요,지인에게만,인스타그램,키가 더 커지고 싶습니다,딱히 하고싶은 것은 없어요,악기 연주,"다양한 환경 체험, 다양한 팁",예능 프로그램,춤 연습,"영화/드라마 리뷰 또는 소개, 클립",유명인의 V-LOG,없음
4-11-2022 19:10:08,20대,남자,O,"OTT, 영상",일일 1~3시간,"영화, 스포츠, 예능",파이트클럽,없음,보통이다,여행가서 찍는걸 좋아한다.,친한 친구에게만,카카오톡,키가 컸으면,딱히 생각해본적 없다.,노래모음,운동,"밈, 공감되는 영상, 기획 프로그램(가짜사나이, 머니게임 등)",춤 연습,"영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리",합방,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 19:03:37,20대,남자,O,"SNS, 영상",일일 3~6시간,"코미디, 스포츠, 게임",저라뎃(게임유튜버) 영상,월 1회 이상,그렇지 않다,내가 등장하는 것을 좋아하지 않는다,친한 친구에게만,인스타그램,키가 컸으면 좋겠다,큰 키로 덩크를 하고싶다,커버 곡,"각종 지식, 정보 이야기하기, 운동","꽁트, 공감되는 영상","같이 춤추기, 스트릿 댄스","영화/드라마 리뷰 또는 소개, 비하인드 스토리",인기 연예인과 함께 출연하기,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 20:48:10,20대,여자,X,영상,일일 1~3시간,코미디,피식대학,없음,매우 그렇지 않다,관심 없음,친한 친구에게만,카카오톡,키가 크게 바꾼다.,다른 스타일링을 해본다.,라이브로 실시간 공연,다양한 환경 체험,꽁트,스트릿 댄스,"영화/드라마 평론가 되기, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 패션 ,헤어,메이크업 체험하기","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 20:16:16,20대,여자,O,"SNS, 영상",일일 3~6시간,"음악, 댄스, 코미디, 일상, 영화, 예능",뮤직비디오,없음,매우 그렇지 않다,모르는 사람에게 내 얼굴을 보이는 것을 좋아하지 않음.,가족에게만,카카오톡,키가 크고 살이 빠졌으면 좋겠다.,딱히 없음. 자기만족,"악기 연주, 노래모음, 뮤직비디오","요리, 다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 밈","춤 연습, 무대에 서기",영화/드라마 리뷰 또는 소개,유명인의 V-LOG,애니메이션 자체를 별로 보지 않음.
4-11-2022 19:12:47,20대,남자,O,"게임, SNS",일일 6~10시간,게임,저라뎃의 영상 ,월 1회 이상,그렇지 않다,사진 찍는거 자체를 별로 안좋아함,지인에게만,인스타그램,키를 늘리고 싶네요,그냥 키 크고 싶다,노래모음,운동,"꽁트, 밈, 몰래카메라","무대에 서기, 스트릿 댄스","명대사 따라하기, 영화/드라마 리뷰 또는 소개","유명인 되어보기, 인기 연예인과 함께 출연하기",따라하기
4-11-2022 18:33:57,30대,남자,X,"SNS, OTT, 영상, 금융, 쇼핑",일일 3~6시간,"음악, 스포츠, 예능",피지대마왕tv,주 3회 이상,그렇다,기록 + sns업로드,모두에게,인스타그램,키를 더 키운다,딱히 바꿔서 더 하고싶은건 없음,노래모음,"다양한 환경 체험, 운동","꽁트, 밈, 공감되는 영상",댄스에 큰 흥미 없음,"영화/드라마 리뷰 또는 소개, 비하인드 스토리","인기 연예인과 함께 출연하기, 유명인의 V-LOG",잘 모르겠음
4-11-2022 19:00:36,20대,남자,O,"SNS, OTT, 영상, 금융",일일 1~3시간,"영화, 예능, 애니",귀멸의 칼날 2기 환락의 거리,월 1회 이상,보통이다,나중에 봤을때 추억이 된다,지인에게만,인스타그램,키를 좀 늘리고 싶다,모델,커버 곡,"다양한 환경 체험, 다양한 팁, 운동","몰래카메라, 기획 프로그램(가짜사나이, 머니게임 등)","무대에 서기, 스트릿 댄스, 일반인 댄스",영화/드라마 리뷰 또는 소개,"유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG",코스프레
4-11-2022 18:57:20,20대,여자,X,"SNS, OTT, 영상",일일 3~6시간,"음악, 일상, 스포츠, 예능",배틀그라운드 영상,월 1회 이상,그렇다,하나의 추억이 더 생기는 기분이라,모두에게,인스타그램,키만 좀 더 크기,딱히 해보고싶은건 없음ㅁㅈ,"듀엣, 커버 곡, 노래모음","요리, 다양한 팁, 운동","엽기적인 영상, 공감되는 영상","같이 춤추기, 콜라보","영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 패션 ,헤어,메이크업 체험하기, 유명인의 V-LOG, 합방",코스프레
4-12-2022 14:05:34,20대,남자,O,"게임, SNS, 영상, 금융",일일 3~6시간,"음악, 일상, 스포츠","해외축구, 특히 손흥민",없음,그렇다,지금 내 시기를 기록하고싶어서,나에게만,인스타그램,키크게,그건 딱히 없음,"커버 곡, 노래모음","각종 지식, 정보 이야기하기","기획 프로그램(가짜사나이, 머니게임 등)",없음,그냥 영화 그 자체,없음,없음
4-12-2022 14:47:51,20대,남자,O,"게임, SNS, OTT, 영상, 금융, 쇼핑",일일 3~6시간,"코미디, 영화, 예능",무한도전,없음,그렇지 않다,귀찮,친한 친구에게만,카카오톡,키크게,그냥 살거다,원하는 외모와 목소리로 노래하기,"각종 지식, 정보 이야기하기",밈,스트릿 댄스,"영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개, 비하인드 스토리",합방,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 12:57:51,20대,남자,X,"영상, 금융, 쇼핑",일일 1~3시간,스포츠,이스타TV,월 1회 이상,그렇지 않다,여행갈때만 찍어요 평상시엔 굳이??라는 생각,친한 친구에게만,카카오톡,패셔너블하게,소모임 ,라이브로 실시간 공연,"각종 지식, 정보 이야기하기",꽁트,춤 연습,영화/드라마 속 인물이 되어보기,유명인의 V-LOG,따라하기
4-11-2022 19:16:56,20대,남자,O,"게임, OTT, 금융",일일 3~6시간,"음악, 일상, 스포츠",ufc 정찬성 vs볼카노프스키,없음,그렇지 않다,딱히 필요성을 느끼지 않는다,친한 친구에게만,카카오톡,피부를 깨끗하게 바꾸고 싶다,모델,"원하는 외모와 목소리로 노래하기, 악기 연주","다양한 환경 체험, 다양한 팁, 각종 지식, 정보 이야기하기","꽁트, 공감되는 영상","스트릿 댄스, 콜라보","영화/드라마 속 인물이 되어보기, 영화/드라마 평론가 되기, 영화/드라마 리뷰 또는 소개","인기 연예인과 함께 출연하기, 합방","특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-12-2022 13:06:05,30대,여자,X,쇼핑,일일 3~6시간,"음악, 예능",ㅇㄹ,주 1회 이상,그렇지 않다,ㅇ,친한 친구에게만,인스타그램,ㅎㅎ,ㅎㅎ,커버 곡,다양한 환경 체험,공감되는 영상,콜라보,영화/드라마 평론가 되기,유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
4-11-2022 21:58:10,20대,여자,X,"SNS, 영상, 금융, 티켓팅",일일 1~3시간,"코미디, 스포츠, 예능",쇼트트랙 결승,주 1회 이상,보통이다,나를 기록하는 용도라 생각,친한 친구에게만,카카오톡,행복한 모습으로,웃으면서 일하고 싶다(욕 안 하고!),"듀엣, 라이브로 실시간 공연, 악기 연주","다양한 환경 체험, 요리","꽁트, 공감되는 영상","춤 연습, 같이 춤추기","영화/드라마 리뷰 또는 소개, 비하인드 스토리","유명인의 패션 ,헤어,메이크업 체험하기",코스프레
4-12-2022 12:15:16,20대,남자,X,"SNS, OTT, 영상, 쇼핑",일일 3~6시간,"음악, 영화, 스포츠, 예능",그 해 우리는,월 1회 이상,그렇다,추억으로 남기고 싶어서,지인에게만,인스타그램,훌륭하지만 적절한 피지컬,바디프로필 찍기,"커버 곡, 노래모음","요리, 운동","꽁트, 슬랩스틱, 기획 프로그램(가짜사나이, 머니게임 등)",스트릿 댄스,영화/드라마 속 인물이 되어보기,유명인의 V-LOG,"특정 애니메이션에 내가 원하는 목소리, 대사 적용하기"
